use,type,which,n,minLen,maxLen,numLens,minAge,maxAge,numAges,ename,sname,reason
yes,WBIC_YEAR,376900_1988,154,260,740,25,3,12,10,eALK_376900_1988,sALK_376900_1988,
yes,WBIC_YEAR,376900_2006,201,200,740,26,2,12,11,eALK_376900_2006,sALK_376900_2006,
yes,WBIC_YEAR,388500_1988,89,340,720,18,3,13,10,eALK_388500_1988,sALK_388500_1988,
yes,WBIC_YEAR,388500_2006,113,300,700,21,3,12,10,eALK_388500_2006,sALK_388500_2006,
yes,WBIC_YEAR,394400_1992,195,260,660,21,3,12,10,eALK_394400_1992,sALK_394400_1992,
yes,WBIC_YEAR,394400_2016,205,280,720,23,4,18,15,eALK_394400_2016,sALK_394400_2016,
yes,WBIC_YEAR,396500_1992,173,300,680,18,3,12,9,eALK_396500_1992,sALK_396500_1992,
yes,WBIC_YEAR,406900_1991,156,280,660,18,4,13,10,eALK_406900_1991,sALK_406900_1991,
yes,WBIC_YEAR,406900_2003,152,240,700,23,2,11,9,eALK_406900_2003,sALK_406900_2003,
yes,WBIC_YEAR,417400_2007,162,180,680,22,1,15,13,eALK_417400_2007,sALK_417400_2007,
yes,WBIC_YEAR,417400_2011,171,180,660,23,1,17,15,eALK_417400_2011,sALK_417400_2011,
yes,WBIC_YEAR,417900_1978,147,180,740,25,1,11,11,eALK_417900_1978,sALK_417900_1978,
NO,WBIC_YEAR,417900_2002,27,200,620,9,1,14,6,eALK_417900_2002,sALK_417900_2002,n < 30
yes,WBIC_YEAR,417900_2016,79,360,680,15,3,13,11,eALK_417900_2016,sALK_417900_2016,
yes,WBIC_YEAR,418700_2016,50,380,660,15,4,14,10,eALK_418700_2016,sALK_418700_2016,
NO,WBIC_YEAR,428100_1981,25,240,640,9,2,6,4,eALK_428100_1981,sALK_428100_1981,n < 30
yes,WBIC_YEAR,439800_2008,97,320,600,14,3,15,12,eALK_439800_2008,sALK_439800_2008,
yes,WBIC_YEAR,470600_2009,34,400,660,11,3,9,7,eALK_470600_2009,sALK_470600_2009,
yes,WBIC_YEAR,608400_2013,60,160,660,16,1,17,12,eALK_608400_2013,sALK_608400_2013,
yes,WBIC_YEAR,651600_2002,207,140,600,24,1,12,12,eALK_651600_2002,sALK_651600_2002,
yes,WBIC_YEAR,651600_2012,54,320,680,13,2,17,11,eALK_651600_2012,sALK_651600_2012,
yes,WBIC_YEAR,653700_2011,96,280,720,23,2,13,12,eALK_653700_2011,sALK_653700_2011,
yes,WBIC_YEAR,672300_2005,34,340,720,17,4,10,7,eALK_672300_2005,sALK_672300_2005,
NO,WBIC_YEAR,672300_2012,24,420,700,11,9,19,10,eALK_672300_2012,sALK_672300_2012,n < 30
yes,WBIC_YEAR,672900_2007,134,360,740,19,5,16,12,eALK_672900_2007,sALK_672900_2007,
yes,WBIC_YEAR,672900_2012,47,180,740,20,1,17,14,eALK_672900_2012,sALK_672900_2012,
yes,WBIC_YEAR,677100_2013,81,340,660,15,4,18,13,eALK_677100_2013,sALK_677100_2013,
yes,WBIC_YEAR,679300_2013,121,420,680,14,4,15,11,eALK_679300_2013,sALK_679300_2013,
yes,WBIC_YEAR,691800_2007,177,240,800,28,2,19,14,eALK_691800_2007,sALK_691800_2007,
yes,WBIC_YEAR,692400_1992,143,240,720,22,3,12,10,eALK_692400_1992,sALK_692400_1992,
yes,WBIC_YEAR,692400_2014,118,300,580,15,3,13,11,eALK_692400_2014,sALK_692400_2014,
yes,WBIC_YEAR,692900_1994,213,100,760,30,1,13,13,eALK_692900_1994,sALK_692900_1994,
yes,WBIC_YEAR,968800_1991,114,240,660,20,3,13,11,eALK_968800_1991,sALK_968800_1991,
yes,WBIC_YEAR,971600_1988,94,320,680,18,4,14,10,eALK_971600_1988,sALK_971600_1988,
yes,WBIC_YEAR,971600_2016,36,520,760,11,9,18,9,eALK_971600_2016,sALK_971600_2016,
yes,WBIC_YEAR,974200_1988,118,160,520,18,1,9,9,eALK_974200_1988,sALK_974200_1988,
NO,WBIC_YEAR,977500_1988,216,200,740,27,2,15,14,eALK_977500_1988,NA,Bad smoothed ALK
yes,WBIC_YEAR,977500_1990,202,260,720,24,3,14,11,eALK_977500_1990,sALK_977500_1990,
yes,WBIC_YEAR,983500_2012,50,500,680,10,8,13,6,eALK_983500_2012,sALK_983500_2012,
yes,WBIC_YEAR,995000_2012,81,220,460,10,1,6,5,eALK_995000_2012,sALK_995000_2012,
yes,WBIC_YEAR,995200_1994,184,240,720,25,3,12,10,eALK_995200_1994,sALK_995200_1994,
yes,WBIC_YEAR,995200_2016,137,240,640,19,3,17,12,eALK_995200_2016,sALK_995200_2016,
NO,WBIC_YEAR,1005600_2005,44,140,560,12,1,11,10,eALK_1005600_2005,NA,Bad smoothed ALK
yes,WBIC_YEAR,1019500_1991,140,260,720,20,3,14,12,eALK_1019500_1991,sALK_1019500_1991,
yes,WBIC_YEAR,1019500_2009,134,280,640,18,2,12,10,eALK_1019500_2009,sALK_1019500_2009,
yes,WBIC_YEAR,1427400_1993,148,160,660,24,1,8,8,eALK_1427400_1993,sALK_1427400_1993,
yes,WBIC_YEAR,1469100_2015,152,180,700,26,1,13,13,eALK_1469100_2015,sALK_1469100_2015,
yes,WBIC_YEAR,1515200_2004,110,280,700,20,2,12,10,eALK_1515200_2004,sALK_1515200_2004,
yes,WBIC_YEAR,1519600_1991,70,280,700,17,3,12,9,eALK_1519600_1991,sALK_1519600_1991,
yes,WBIC_YEAR,1523600_1990,172,220,700,23,3,13,11,eALK_1523600_1990,sALK_1523600_1990,
yes,WBIC_YEAR,1528300_1988,220,260,700,23,2,13,12,eALK_1528300_1988,sALK_1528300_1988,
yes,WBIC_YEAR,1528300_1994,353,220,740,26,2,15,14,eALK_1528300_1994,sALK_1528300_1994,
yes,WBIC_YEAR,1528700_2010,161,160,660,22,1,15,13,eALK_1528700_2010,sALK_1528700_2010,
yes,WBIC_YEAR,1542300_1992,130,240,820,26,3,15,13,eALK_1542300_1992,sALK_1542300_1992,
yes,WBIC_YEAR,1542400_1992,160,220,760,28,2,15,14,eALK_1542400_1992,sALK_1542400_1992,
yes,WBIC_YEAR,1542600_1992,61,300,720,18,3,14,11,eALK_1542600_1992,sALK_1542600_1992,
yes,WBIC_YEAR,1545300_1990,195,240,700,24,3,13,11,eALK_1545300_1990,sALK_1545300_1990,
yes,WBIC_YEAR,1545600_1988,220,240,680,23,2,12,11,eALK_1545600_1988,sALK_1545600_1988,
yes,WBIC_YEAR,1545600_1993,260,160,760,30,2,15,14,eALK_1545600_1993,sALK_1545600_1993,
yes,WBIC_YEAR,1547700_2006,199,140,660,26,1,15,15,eALK_1547700_2006,sALK_1547700_2006,
yes,WBIC_YEAR,1555500_2004,66,340,720,19,4,15,12,eALK_1555500_2004,sALK_1555500_2004,
yes,WBIC_YEAR,1564200_1992,170,200,680,24,2,12,11,eALK_1564200_1992,sALK_1564200_1992,
yes,WBIC_YEAR,1579700_1991,176,280,660,20,3,11,9,eALK_1579700_1991,sALK_1579700_1991,
yes,WBIC_YEAR,1579900_1990,248,180,640,24,2,11,10,eALK_1579900_1990,sALK_1579900_1990,
yes,WBIC_YEAR,1588200_1988,175,320,760,23,4,15,12,eALK_1588200_1988,sALK_1588200_1988,
yes,WBIC_YEAR,1588200_1992,217,280,760,25,3,15,13,eALK_1588200_1992,sALK_1588200_1992,
yes,WBIC_YEAR,1589100_1988,137,220,680,22,3,14,12,eALK_1589100_1988,sALK_1589100_1988,
yes,WBIC_YEAR,1589300_1994,127,260,720,24,2,15,13,eALK_1589300_1994,sALK_1589300_1994,
