"wbic_year","wbic","year","PE"
"181400_1999",181400,1999,123
"184200_2014",184200,2014,287
"198100_2003",198100,2003,907
"198100_2008",198100,2008,515
"198100_2010",198100,2010,383
"198100_2014",198100,2014,213
"376900_1988",376900,1988,2002
"376900_1993",376900,1993,1229
"376900_2002",376900,2002,1214
"376900_2006",376900,2006,1718
"376900_2009",376900,2009,2201
"376900_2012",376900,2012,1548
"376900_2014",376900,2014,1300
"377900_1999",377900,1999,1598
"377900_2002",377900,2002,2811
"377900_2004",377900,2004,2475
"377900_2007",377900,2007,1903
"377900_2010",377900,2010,1159
"377900_2012",377900,2012,692
"377900_2013",377900,2013,622
"377900_2014",377900,2014,560
"377900_2016",377900,2016,447
"378400_1987",378400,1987,1808
"378400_1993",378400,1993,2466
"378400_1996",378400,1996,1797
"378400_1999",378400,1999,1515
"378400_2002",378400,2002,1084
"378400_2010",378400,2010,1831
"387200_1984",387200,1984,187
"387200_2005",387200,2005,516
"387200_2009",387200,2009,342
"388500_1988",388500,1988,463
"388500_1999",388500,1999,655
"388500_2006",388500,2006,245
"389300_1979",389300,1979,216
"389300_1988",389300,1988,437
"394400_1989",394400,1989,4706
"394400_1992",394400,1992,4987
"394400_1997",394400,1997,7376
"394400_1999",394400,1999,4851
"394400_2001",394400,2001,3518
"394400_2004",394400,2004,1199
"394400_2007",394400,2007,1675
"394400_2009",394400,2009,2574
"394400_2010",394400,2010,3993
"394400_2011",394400,2011,2569
"394400_2013",394400,2013,9836
"394400_2016",394400,2016,5770
"396500_1987",396500,1987,5176
"396500_1992",396500,1992,1410
"396500_2001",396500,2001,1913
"396500_2006",396500,2006,904
"396500_2011",396500,2011,655
"396500_2015",396500,2015,713
"406900_1985",406900,1985,2255
"406900_1991",406900,1991,1277
"406900_2003",406900,2003,1261
"417400_1979",417400,1979,2148
"417400_1993",417400,1993,180
"417400_2007",417400,2007,671
"417400_2011",417400,2011,459
"417900_1978",417900,1978,1004
"417900_1982",417900,1982,807
"417900_1989",417900,1989,377
"417900_2002",417900,2002,164
"417900_2016",417900,2016,212
"418700_1977",418700,1977,1498
"418700_1982",418700,1982,1443
"418700_1989",418700,1989,475
"418700_1996",418700,1996,547
"418700_2016",418700,2016,248
"428100_1981",428100,1981,49
"439500_1980",439500,1980,102
"439800_1985",439800,1985,3469
"439800_1993",439800,1993,1379
"439800_1994",439800,1994,2983
"439800_1997",439800,1997,1507
"439800_2008",439800,2008,811
"470600_2009",470600,2009,49
"478200_1998",478200,1998,178
"478200_2014",478200,2014,376
"479300_1998",479300,1998,139
"487500_1977",487500,1977,1359
"487500_1993",487500,1993,309
"487500_1999",487500,1999,503
"491800_1977",491800,1977,414
"491800_1984",491800,1984,145
"491800_1993",491800,1993,70
"494200_1987",494200,1987,640
"494200_2004",494200,2004,803
"494200_2008",494200,2008,412
"494200_2015",494200,2015,104
"501200_1983",501200,1983,386
"540600_1983",540600,1983,3065
"540600_1984",540600,1984,2451
"591600_1981",591600,1981,219
"608400_2013",608400,2013,128
"651600_1986",651600,1986,569
"651600_2002",651600,2002,442
"651600_2012",651600,2012,147
"653700_1981",653700,1981,959
"653700_1993",653700,1993,1782
"653700_2000",653700,2000,649
"653700_2004",653700,2004,584
"653700_2011",653700,2011,250
"653700_2016",653700,2016,503
"672300_1986",672300,1986,75
"672300_2005",672300,2005,54
"672300_2012",672300,2012,33
"672900_1979",672900,1979,1175
"672900_1997",672900,1997,196
"672900_2000",672900,2000,355
"672900_2007",672900,2007,358
"672900_2012",672900,2012,95
"672900_2016",672900,2016,65
"677100_1998",677100,1998,113
"677100_2007",677100,2007,225
"677100_2013",677100,2013,215
"679300_1988",679300,1988,353
"679300_1995",679300,1995,195
"679300_2013",679300,2013,688
"683000_1999",683000,1999,1659
"683000_2003",683000,2003,1101
"683000_2008",683000,2008,1100
"683000_2014",683000,2014,564
"691800_2007",691800,2007,408
"692400_1983",692400,1983,7887
"692400_1988",692400,1988,5174
"692400_1989",692400,1989,4766
"692400_1990",692400,1990,4754
"692400_1991",692400,1991,2134
"692400_1992",692400,1992,6721
"692400_1993",692400,1993,5997
"692400_1994",692400,1994,4803
"692400_1995",692400,1995,3644
"692400_1996",692400,1996,3416
"692400_1997",692400,1997,6525
"692400_1998",692400,1998,5138
"692400_1999",692400,1999,4395
"692400_2000",692400,2000,3981
"692400_2001",692400,2001,2740
"692400_2002",692400,2002,2106
"692400_2003",692400,2003,1625
"692400_2004",692400,2004,1703
"692400_2005",692400,2005,1135
"692400_2006",692400,2006,1073
"692400_2008",692400,2008,1195
"692400_2009",692400,2009,8528
"692400_2010",692400,2010,6953
"692400_2011",692400,2011,5631
"692400_2012",692400,2012,5301
"692400_2013",692400,2013,4475
"692400_2014",692400,2014,3509
"692400_2015",692400,2015,2470
"692400_2016",692400,2016,2432
"692900_1989",692900,1989,3673
"692900_1991",692900,1991,3077
"692900_1994",692900,1994,2101
"692900_1997",692900,1997,1834
"692900_2002",692900,2002,528
"692900_2004",692900,2004,431
"692900_2009",692900,2009,583
"692900_2013",692900,2013,248
"692900_2014",692900,2014,692
"716800_1984",716800,1984,6802
"716800_1989",716800,1989,7383
"716800_1990",716800,1990,7891
"716800_1991",716800,1991,3320
"716800_1992",716800,1992,4018
"716800_1993",716800,1993,2282
"716800_1994",716800,1994,3532
"716800_1995",716800,1995,908
"716800_1996",716800,1996,626
"716800_1997",716800,1997,1009
"716800_1998",716800,1998,731
"716800_2002",716800,2002,2538
"716800_2003",716800,2003,10474
"716800_2004",716800,2004,12899
"716800_2005",716800,2005,9549
"716800_2006",716800,2006,12489
"716800_2007",716800,2007,7520
"716800_2008",716800,2008,13237
"716800_2009",716800,2009,12115
"716800_2010",716800,2010,3277
"716800_2011",716800,2011,1546
"716800_2012",716800,2012,1579
"716800_2014",716800,2014,4705
"716800_2015",716800,2015,2073
"716800_2016",716800,2016,1766
"968800_1991",968800,1991,4453
"968800_2006",968800,2006,1880
"968800_2007",968800,2007,2171
"968800_2015",968800,2015,1078
"969600_2007",969600,2007,63
"971600_1988",971600,1988,435
"971600_1999",971600,1999,498
"971600_2016",971600,2016,61
"973000_2003",973000,2003,418
"973000_2015",973000,2015,547
"974200_1988",974200,1988,824
"977500_1988",977500,1988,3242
"977500_1990",977500,1990,1970
"977500_1996",977500,1996,3093
"977500_2000",977500,2000,3241
"977500_2005",977500,2005,2096
"977500_2012",977500,2012,1897
"979100_2004",979100,2004,64
"983500_2012",983500,2012,81
"983600_1986",983600,1986,630
"983600_1987",983600,1987,779
"983600_2009",983600,2009,265
"989200_1989",989200,1989,207
"995000_1994",995000,1994,304
"995000_2012",995000,2012,433
"995200_1989",995200,1989,4499
"995200_1994",995200,1994,3737
"995200_1995",995200,1995,3530
"995200_1998",995200,1998,2422
"995200_2005",995200,2005,1321
"995200_2016",995200,2016,2728
"1001000_2007",1001000,2007,83
"1001300_1999",1001300,1999,206
"1004600_2005",1004600,2005,154
"1005600_1981",1005600,1981,341
"1005600_2005",1005600,2005,84
"1012100_1981",1012100,1981,1273
"1012100_2001",1012100,2001,318
"1013800_1999",1013800,1999,2369
"1013800_2007",1013800,2007,2671
"1013800_2014",1013800,2014,3082
"1018500_1995",1018500,1995,389
"1018500_2000",1018500,2000,1141
"1018500_2003",1018500,2003,1348
"1018500_2006",1018500,2006,1226
"1018500_2009",1018500,2009,626
"1018500_2012",1018500,2012,997
"1018500_2015",1018500,2015,2232
"1019500_1991",1019500,1991,2003
"1019500_2009",1019500,2009,809
"1019500_2016",1019500,2016,305
"1022900_1989",1022900,1989,386
"1406300_1973",1406300,1973,738
"1406300_1994",1406300,1994,419
"1427400_1985",1427400,1985,10130
