"wbic_year","wbic","year","county","class","len.in","len.mm","wt","sex"
"394400_1992",394400,1992,"Forest","CCC",10.5,266.7,167.83,"M"
"394400_1992",394400,1992,"Forest","CCC",11.3,287.02,254.01,"M"
"394400_1992",394400,1992,"Forest","CCC",11.4,289.56,226.8,"M"
"394400_1992",394400,1992,"Forest","CCC",11.6,294.64,226.8,"M"
"394400_1992",394400,1992,"Forest","CCC",11.7,297.18,254.01,"M"
"394400_1992",394400,1992,"Forest","CCC",11.8,299.72,281.23,"M"
"394400_1992",394400,1992,"Forest","CCC",11.9,302.26,254.01,"M"
"394400_1992",394400,1992,"Forest","CCC",11.9,302.26,254.01,"M"
"394400_1992",394400,1992,"Forest","CCC",11.9,302.26,281.23,"M"
"394400_1992",394400,1992,"Forest","CCC",11.9,302.26,254.01,"M"
"394400_1992",394400,1992,"Forest","CCC",12,304.8,254.01,"M"
"394400_1992",394400,1992,"Forest","CCC",12.1,307.34,254.01,"M"
"394400_1992",394400,1992,"Forest","CCC",12.2,309.88,281.23,"M"
"394400_1992",394400,1992,"Forest","CCC",12.3,312.42,254.01,"M"
"394400_1992",394400,1992,"Forest","CCC",12.4,314.96,308.44,"M"
"394400_1992",394400,1992,"Forest","CCC",12.5,317.5,340.19,"M"
"394400_1992",394400,1992,"Forest","CCC",12.6,320.04,254.01,"M"
"394400_1992",394400,1992,"Forest","CCC",12.7,322.58,308.44,"M"
"394400_1992",394400,1992,"Forest","CCC",12.9,327.66,340.19,"M"
"394400_1992",394400,1992,"Forest","CCC",12.9,327.66,281.23,"M"
"394400_1992",394400,1992,"Forest","CCC",13,330.2,367.41,"M"
"394400_1992",394400,1992,"Forest","CCC",13.1,332.74,340.19,"M"
"394400_1992",394400,1992,"Forest","CCC",13.2,335.28,367.41,"M"
"394400_1992",394400,1992,"Forest","CCC",13.3,337.82,340.19,"M"
"394400_1992",394400,1992,"Forest","CCC",13.3,337.82,367.41,"M"
"394400_1992",394400,1992,"Forest","CCC",13.5,342.9,394.63,"M"
"394400_1992",394400,1992,"Forest","CCC",13.6,345.44,394.63,"M"
"394400_1992",394400,1992,"Forest","CCC",13.6,345.44,453.59,"F"
"394400_1992",394400,1992,"Forest","CCC",13.7,347.98,367.41,"M"
"394400_1992",394400,1992,"Forest","CCC",13.7,347.98,340.19,"M"
"394400_1992",394400,1992,"Forest","CCC",13.8,350.52,480.81,"M"
"394400_1992",394400,1992,"Forest","CCC",14,355.6,394.63,"M"
"394400_1992",394400,1992,"Forest","CCC",14.2,360.68,453.59,"M"
"394400_1992",394400,1992,"Forest","CCC",14.2,360.68,394.63,"M"
"394400_1992",394400,1992,"Forest","CCC",14.3,363.22,480.81,"M"
"394400_1992",394400,1992,"Forest","CCC",14.3,363.22,508.02,"F"
"394400_1992",394400,1992,"Forest","CCC",14.5,368.3,480.81,"M"
"394400_1992",394400,1992,"Forest","CCC",14.5,368.3,508.02,"M"
"394400_1992",394400,1992,"Forest","CCC",14.6,370.84,480.81,"F"
"394400_1992",394400,1992,"Forest","CCC",14.6,370.84,535.24,"F"
"394400_1992",394400,1992,"Forest","CCC",14.6,370.84,594.21,"F"
"394400_1992",394400,1992,"Forest","CCC",14.7,373.38,453.59,"M"
"394400_1992",394400,1992,"Forest","CCC",14.7,373.38,394.63,"M"
"394400_1992",394400,1992,"Forest","CCC",14.8,375.92,480.81,"M"
"394400_1992",394400,1992,"Forest","CCC",14.8,375.92,566.99,"F"
"394400_1992",394400,1992,"Forest","CCC",14.9,378.46,535.24,"F"
"394400_1992",394400,1992,"Forest","CCC",15,381,480.81,"M"
"394400_1992",394400,1992,"Forest","CCC",15.2,386.08,621.42,"M"
"394400_1992",394400,1992,"Forest","CCC",15.2,386.08,566.99,"M"
"394400_1992",394400,1992,"Forest","CCC",15.2,386.08,535.24,"M"
"394400_1992",394400,1992,"Forest","CCC",15.3,388.62,566.99,"F"
"394400_1992",394400,1992,"Forest","CCC",15.4,391.16,508.02,"M"
"394400_1992",394400,1992,"Forest","CCC",15.4,391.16,566.99,"M"
"394400_1992",394400,1992,"Forest","CCC",15.4,391.16,566.99,"F"
"394400_1992",394400,1992,"Forest","CCC",15.5,393.7,566.99,"F"
"394400_1992",394400,1992,"Forest","CCC",15.5,393.7,648.64,"F"
"394400_1992",394400,1992,"Forest","CCC",15.6,396.24,680.39,"M"
"394400_1992",394400,1992,"Forest","CCC",15.8,401.32,734.82,"F"
"394400_1992",394400,1992,"Forest","CCC",15.8,401.32,566.99,"M"
"394400_1992",394400,1992,"Forest","CCC",15.8,401.32,680.39,"F"
"394400_1992",394400,1992,"Forest","CCC",15.8,401.32,566.99,"M"
"394400_1992",394400,1992,"Forest","CCC",15.8,401.32,594.21,"M"
"394400_1992",394400,1992,"Forest","CCC",15.8,401.32,566.99,"M"
"394400_1992",394400,1992,"Forest","CCC",15.9,403.86,821,"F"
"394400_1992",394400,1992,"Forest","CCC",16,406.4,648.64,"M"
"394400_1992",394400,1992,"Forest","CCC",16.1,408.94,821,"F"
"394400_1992",394400,1992,"Forest","CCC",16.1,408.94,734.82,"F"
"394400_1992",394400,1992,"Forest","CCC",16.1,408.94,793.79,"M"
"394400_1992",394400,1992,"Forest","CCC",16.1,408.94,621.42,"M"
"394400_1992",394400,1992,"Forest","CCC",16.2,411.48,734.82,"F"
"394400_1992",394400,1992,"Forest","CCC",16.2,411.48,566.99,"M"
"394400_1992",394400,1992,"Forest","CCC",16.3,414.02,734.82,"F"
"394400_1992",394400,1992,"Forest","CCC",16.4,416.56,621.42,"M"
"394400_1992",394400,1992,"Forest","CCC",16.5,419.1,734.82,"M"
"394400_1992",394400,1992,"Forest","CCC",16.6,421.64,875.43,"F"
"394400_1992",394400,1992,"Forest","CCC",16.7,424.18,648.64,"M"
"394400_1992",394400,1992,"Forest","CCC",16.7,424.18,734.82,"F"
"394400_1992",394400,1992,"Forest","CCC",16.7,424.18,734.82,"M"
"394400_1992",394400,1992,"Forest","CCC",16.8,426.72,734.82,"M"
"394400_1992",394400,1992,"Forest","CCC",16.8,426.72,848.22,"F"
"394400_1992",394400,1992,"Forest","CCC",16.9,429.26,734.82,"F"
"394400_1992",394400,1992,"Forest","CCC",16.9,429.26,762.04,"M"
"394400_1992",394400,1992,"Forest","CCC",17,431.8,961.62,"F"
"394400_1992",394400,1992,"Forest","CCC",17,431.8,734.82,"M"
"394400_1992",394400,1992,"Forest","CCC",17,431.8,793.79,"M"
"394400_1992",394400,1992,"Forest","CCC",17.1,434.34,793.79,"M"
"394400_1992",394400,1992,"Forest","CCC",17.1,434.34,821,"M"
"394400_1992",394400,1992,"Forest","CCC",17.1,434.34,793.79,"F"
"394400_1992",394400,1992,"Forest","CCC",17.2,436.88,648.64,"F"
"394400_1992",394400,1992,"Forest","CCC",17.3,439.42,875.43,"F"
"394400_1992",394400,1992,"Forest","CCC",17.3,439.42,762.04,"M"
"394400_1992",394400,1992,"Forest","CCC",17.4,441.96,1274.59,"F"
"394400_1992",394400,1992,"Forest","CCC",17.4,441.96,821,"F"
